hatespeech,subtype,text
1,3,@user don ... prekleto jok twat. 
1,3,hahaha rastejo fagot @url 
1,3,@User Cunt Strecment Club 
1,3,3 osebe so ustrelile oboroženih policistov Dumb Twat @url 
1,3,psica zaostala sovraštvo @url 
1,3,"Vsakdo ve, da je Feminizan R Ling GD Zobje @User @User @User @URL "
1,3,@User še vedno grenka pizda. Veliko zanimanja Arsenal? Player Player Fodom nas prodaja. 
1,3,@ser wtf telovadnica King Phone Malo Twat 
1,3,prekleto sovraštvo Sonic kapljice kovanci dragoceno malo pizda počasi 
1,3,@user @user parodija ena stvar twat smešno. 
1,3,"@user, imenovan Fagot Stole Wall Burger King Kopalnica "
1,3,Twat @url. 
1,3,Nigga ni uresničil Fox News Negro Missing Talk Shit White ženske bi ok @url 
1,3,@user rereead sranje nepismerate twat 
1,3,vse bolje. pizda živ .. 
1,3,pizda želi zgrabiti generacijo schuff vratu dobili prekleto neumno @url 
1,3,@ser twat. 
1,3,Zaostala strupena ženstvenost @URL 
1,3,človek zapusti en teden prvi twat matico 
1,3,"@User vse, kar je resnično. smug malo twat. "
1,3,Smelly Py Blk Mama poskuša poslati zaostalega otroka Blk Goons Car Novers Sleepnthe Leader smrdljivo @url 
1,3,Kupi @User @User @User @User @User @User @User @User redno alternative @URL 
1,3,@ Bure Fuck Fagot. 
1,3,@user hmm v redu case paziti twat 
1,3,grozno pizda @url. 
1,3,"Kup napredek Bint TPA, ki govori eno pravilo eno drugo. blizu preklete kave. "
1,3,"@user @ser @user ne sprejema obtožb resno, da je feminazi možganov. glej. kontekst vsega. "
1,3,Cum Eye Ball Fagot Dickhead prekleto pizdo kurba torte 
1,3,@user lol ok prepričan. pizda 
1,3,"Prodaja DVD-ji HAHAHAHA SHOP, ki bo sovražila žensko counter mongy cunt vseeno deser @url "
1,3,Končal sem malo psice. gojijo prekleto pizdo. 
1,3,"dobil sem glavo, kot je Dyke dobil glavo kot @url "
1,3,@User LMFAO zaprto pizdo 
1,3,Zlati vizumi: bogati priseljenci zloraba quebec je priseljevanje pro ... @url preko @User 
1,3,@user @user @user off ya pizda ne verjamejo še vedno fotografijo haha x 
1,3,@User Feminazi je zaznal 
1,3,rrrrrly dont caring im pizda 
1,3,Prekleta sovraštvo Lanky Ginger Cunt Joseph Brady 
1,3,@User @User @User Ženska. Orodje. se počutite nevarno. Kako je retard. 
1,3,"@User Barns je slišal razpravljati o ""lecherous twat"" empook ""levič zaplet "".nneasily končal .... "
1,3,"vse, kar vonjajo. "
1,3,dobesedno je čakala rdeča svetloba pet minut sem prekleto retard 
1,3,@User @User EGN Admin? Shut fucken usta pizda dajo jebemti ftp dal @url 
1,3,Aw Nut pizda FKN Gee Lift Home 
1,3,wow. Twat @url. 
1,3,Twat? Gary twat. 
1,3,@User Boys Boys ..... dokler sami premagujejo toksične moškostične moškosti. 
1,3,Jebemti Ching Chong Siopao Dimsum Shit SA Vprašanje 3 ???? ne morem razumeti Can Cant c n e x u l z e kasi nejapati 
1,3,"Sinoči Bar pizda, ki je potegnila Purge Knife Rahlo Tug War @URL "
1,3,pizda. @user poroča o bogom? @User @url. 
1,3,Trda ura. Cunt ga razrežemo. Onkraj besed @url. 
1,3,"Igra Glitched pizda popolne izzive, kot so 4-krat dejansko štejejo "
1,3,@User @User Yeah Long West Ham Fans Ok .fuking retard 
1,3,Izgovorna pizda !! @url. 
1,3,@User Happy Birthday Cunt X 
1,3,@user @user @user @user @user @user @user z uporabo všeč retard lmao 
1,3,@user @user izgleda kot Dyke Bruh 
1,3,@User LMFAO povej pizdo pogleda drugje 
1,3,Bald twat. NNHE ne more nič vezati! @url. 
1,3,@user @user ne najdejo verodostojnih samic 
1,3,@user @ser @ser Twat Shop Spalni Lion 
1,3,@user @ser @user @user @user @user Hildebrand Twat Pure Enostavno. 
1,3,THETE NRRD CALL CORINA CUNT! potrebu! 
1,3,@ Burer očitno pizda celo poznajo zgodovino ekip 
1,3,@User tečaja feminazijeva roll druga. Goljufije! 
1,3,@user še vedno prekleto twat 
1,3,Današnja ogrevana razprava ... Največji imenovani Twat Ashley Run #nufc - Llambias Charntley 
1,3,@ Bure Fuck Deferktor 
1,3,Twat @url. 
1,3,bodisi noro retardirane tanke črte ločijo 
1,3,Možnost poraz vile Face Pussy Hat FeminazI Man-Hatting Bitter Burches brigada. Bog nam pomaga @url 
1,3,prekleto fagot. 
1,3,@user @user @user @ser @user u Talkin Tae? neumna pizda poznajo vaše mesto 
1,3,spremenjen original Dyke-esque kostum B slutty bc Tristan navdihuje b whore n on eve n gre @url 
1,3,@user @user popcorn 
1,3,@User Girl daje 3 dni Twitter Cunt Ponovno postavi Rit Lockup. @url. 
1,3,ikona .. dejansko! Najboljša stvar Sloty Little Cunt je rekel dolgo časa Vesel sobota Filthy Ani @url 
1,3,"Vedno so se večerne ustavile, da se počutijo dobro jutro "
1,3,@user @user prekleto pizda 
1,3,Neresnično plazilna postelja 13-letna nočna vrata naslednja vrata yappy malo pizda psa wed 
1,3,Hes Ching Chong Chicken Nugger lol; ) 
1,3,@user @user je poročal Twat 
1,3,1v1 Riot Shields krog 11 pizda jebemti igre pizda 
1,3,"@user yeah pizda vprašam, jaz grem n sranje "
1,3,Tweeted zadnjega. podvojitev pizda. @url. 
1,3,"@User je dobil BOLLICK, ki je dal ime obraz tweet, čeprav ti? patetična pizda. "
1,3,"vsakič, ko vlak vedno kurba sat rezerviranega sedeža "
1,3,@user sranje piss fuck kurba cocksucker motherfucker joške prdce turd twat izbrisati bc nespodobno af 
1,3,"United bo uničil Sunday Kaj? Lukaku Bolje, da se spustite sranje pizda. "
1,3,@user @User Cunt Rude Yessi Ignore 
1,3,@User pomeni #nacionalizem. prekleto twat. #impirbrumpnow @url. 
1,3,@user ninja?! resno fant dobesedno zaostal. vsaka všeč ima @url 
1,3,@User @User @User @User Call N **** Povej Go Back Država! 
1,3,"@User @User Silly Little Cunt misli, da so ljudje prizadeli. plus to '@url "
1,3,@user vedno zgodaj ne more spati twat 
1,3,GO Facebook n glejte En Twat Blackface lahko kriči 
1,3,"Dumbasses res mislim, da sem poškodovan klic chink ching chong karkoli bish sem celo boli lmao "
1,3,prekleto scumbag cunt @url 
1,3,"@user @user, ki leži, ker ... Ahhh Liberalni feminazi. Gotcha! "
1,3,Dajmo Twat prepovedano. @url. 
1,3,fant nadlegovati dekleta klubi prekleto twat 
1,3,Tragična zgodovina Manchester United Cunt Tweets To! On je prekleto sramota! @url. 
1,3,"Bolan sem, da vidim obraz Novice Feed Cunt. "
1,3,@user dejansko jebemti? divja pizda. 
1,3,Charlie Leloth Mongy Cunt 
1,3,"Današnja je smešno vapid intolerantna pizda, ki je prinesla pismo, ki je trenutno ASCENDER-TRANSITIO @URL "
1,3,@User @User Jaz sem srednji stara. Ljubezen bele ženske. Ok bela. 
1,3,"psice pravijo, da je noro resnično zaostala "
1,3,"@user kliče ljudi, ki so neobčutljivi! To je najboljši tweet dan .. Daft pizda "
1,3,@user @user žalostna pizda 
1,3,@User Play DayYou Deluded Twat OMD Slap hitro odstraniti 
1,3,@User Act TireSome. Dobesedno doseže nič si prizadeva za thwart nacist pizda. @url. 
1,3,"Ja. Razmišljanje o tem, da se je začelo polnomastno gibanje feminaz. ženska lahko najame potencial W @URL "
1,3,@user @user @user @user @user @user ummmm .... Buddy? mora biti zaostal. 
1,3,"Fliped Guy je uporabil Crush Best Friend misli, da me jebemti. Jaz sem mrtev .. vraga neumna pizda "
1,3,"Lynching! Počakaj. Ok linching globoko državno feminazsi zaroto! Ja, to je to. "
1,3,Booooooooooom smrdljiva pizda čas lufc bit sreče jebemti gozd ljubezen leeds #lufc #mot @url 
1,3,"@user ve, da povzročajo vidni konzervativni moški vedno nevedni sprašujejo divji liberalni femalni @url "
1,3,grda pizda lol. 
1,3,@User še vedno sledi twat. Oglejte si večkrat retweets 
1,3,@User @User Bog Sovražim samice. 
1,3,@user @user @ser @user pizda 
1,3,@user u vzemite agresijo damo za mano? velikan twat. 
1,3,@User Complete Twat so! 
1,3,Hej Siri! .... Ti twat. -Sess horowitz. 
1,3,@user @user @user @user @user @user @user moški sovražijo femining femining? @url. 
1,3,Old Guy Bangs Mlada Twat @url 
1,3,Twat ... @url. 
1,3,@user nikoli zyzz bruh fuckin bolna pizda Bruh 
1,3,"Kadarkoli se odločite, kot ženska fr vzemite ples Bachata teden idk Spic instints "
1,3,"@user feministke vredno oreh, da nigga prikazuje feminaz dekle zapri evtanazijo "
1,3,"@user @user @user @user @user hahaha prekleto pizdo ... vem, kaj je slabše. Šalim Terribl @Url. "
1,3,@user @user @user c'est amusant cette Remarque Parce que justement les migranti ceux qu'o @url 
1,3,@User Spic govori? 
1,3,Jaz sem prekleto maščobo! Nič ni leznega pizda 
1,3,"Karma prekleta pizda, ki jo vedno pozabi. "
1,3,@user @user @user 2 cena 1 zajamčena manj 4 računov feminazi @url 
1,3,@ser twat. 
1,3,@user dobesedno 5 minut glasovanje Twat Farage je rekel dobro jutro Britain 350million stvar laž. 
1,3,Mi smo zajebal terorist ljubeč pizda gets power @url 
1,3,orkestrirano feminaz! Christine Ford Feminazi odvetnik MX Katz Ranking Feminaz @User @url 
1,3,@user @user @user @user prihaja militantno feminaz ... 
1,3,"Trump's Shithole Države! Postavimo oborožene stražarje, zgradijo zid vsako poštno številko Amerike Shal @url "
1,3,Čas krvavi pogon Swansea Tho Fagot 
1,3,"Thierry Henry John Terry ... Vprašajte, da je masiven prekleti pizda @url "
1,3,zdaj slabše kupovanje pizza okusa kot stale pisssy prdec twat 
1,3,"@user oh sranje slaba nosy psica. Gmshahs Nah misli, da Twatnnyou're dobesedno škoduje "
1,3,Všeč mi je @User Video @Url Javed AKHTAR - Intelektualna terorizem Plovila - Aaj Ki Taza Khabar 
1,3,Prekleta razstava mora iti twat. 
1,3,@user poceni pizda 
1,3,Jebemti World Fuck Velika Titted Mongoloid @URL 
1,3,prekleto pizda 
1,3,@User Chinaman Wetback? Izgleda kot kombinacija. 
1,3,@user pub ya dolgočasna pizda! osvetlite mate. 
1,3,Haha Cunt Paid Talk Shit Let Moment #dicksucker @Url 
1,3,@User @User @User @User Dobro se strinja Mary. Tweet šala. Stephen Twat @Url. 
1,3,Ženske Twitter res retard paket @url 
1,3,"@user @user @User @User Great Cilj. vseeno, twat .. "
1,3,@User Ena grozljiva prekleta twat stvar. 
1,3,@user @user oh vraga neumna twat 
1,3,@User Trampy Little Cunt Chavvy Nncan't Trusto Corr niti Sneaky Russian Pesy Nn 
1,3,Tweeters Love Besede (30 dni): Spooky Jebemti Igraj Usoda Modra Bitch Choice pizda kurba Coochie originalna petelin @url 
1,3,Res ne morem dati ravni inteligence naslednje pol-retard točke 
1,3,Prijateljski fant je vprašal Ching Chong Real Word ... ni dipshit stereotip wtf ????? 
1,3,Kim Kardashian Tweet Pics Boobies areola Twat Clit Timeline? 
1,3,@User Good Sreque Pol-Day Ya Hibs Cunt 
1,3,Elaine dati Mitcha prišel v zadnjem času? Mogoče HES testosterona. ne povej žensk. @url. 
1,3,@user @user @user @user @user @ser @user @ser @user @user @ser @user « 
1,3,Femibinazi Fake News @url 
1,3,neumna twat @url. 
1,3,Oh stara pizda 
1,3,Sabarimala dialogi in amp; Razprave ženske menstruacijo šokantni ameriški mongolodni ljudje. oseba ti @url. 
1,3,Še vedno presenečen retard je postal predsednik @url 
1,3,Trifling Twat Waffle pošteno najboljša žalitev 
1,3,"@User @User On je prekleto rasistično pozornost, ki išče pizdo. "
1,3,Kot zarota Theorist Alt-Right Terorost Cunt daje Jebi Palestinci. 
1,3,sins prekleto mongy pizda ya ming @url 
1,3,@user ugh u pizda 
1,3,@user postavi E splav 
1,3,"Prav tako želijo vedeti, da je naredil monstrusion pizda potrebe izginejo x "
1,3,@user humor ženska retard dobil tho 
1,3,David Warner De Prav Royal Twat Hughes Družina krivi vse čudak nesreče @URL 
1,3,@user predstavlja počasno Hammow kamen Twat mahanje pest kadila palice okoli mesta 
1,3,... Zakaj Trash Avstralija naredi drugo Shithole Country .... @url 
1,3,Kdor je izumil Ben Fowler Pozabljena Spooling Coz Cunt Skinny Rit Jebemti 
1,3,@User sem vprašal varno mejno zaščito ameriških državljanov nezakonite tujce. nikoli ans @url. 
1,3,"@user lol celo retweet, kot je žalostna pizda cos želijo, da se lovijo barabe, ki jokajo "
1,3,Poslušajte izgovore. MSM čaščenje Orange Turd Shond Mattery je. Zgrabi muco Shithole COU @URL 
1,3,@user @user @user @user oblačenja halloween (retard anger vprašanja) grda pizda 
1,3,@user @User's Revisit bo ... Prinesel je liberala 
1,3,"Stavim, da je Wow Bafana "
1,3,Jebemti Dumbass Bitch neumna rit idiot fucking crap obremenitev sranje neuporaben rit pizda headhess seronja njegova-immomib @url 
1,3,Očitno Očitno APU Simpsons Elektrom je pokazal Zaostala dnevna starost 
1,3,"Jebemti Zombie Apocalypse se nikoli ne bo zgodilo! Ni'm zaskrbljen ""debela pizda"" apokalipse že na nas! "
1,3,domnevno 5 minut neumnega pizda 
1,3,Dis Dyke Finna Get Feminizirana nazaj 
1,3,Ženska odrasla človeška ženska Terfs različica Ok bela. 
1,3,Feminazi Bullsh * T make up. @url. 
1,3,pizda je razbijala telefonsko roko sinoči 
1,3,"Girl Go obleko, kot je Mongol Pencil Halloween, odkar se je uporabljal # 2 nnLouder ljudje nazaj !!!!! "
1,3,patetična pizda @url. 
1,3,Igra Zajebal Shit Shite Shitty Twat Bastard Game 
1,3,@User Blow Conciticit Twat kot na svetu rancid queeef @user nnyour oče's extra- @url 
1,3,Dobra novica se bojim ženskam 
1,3,ya drugačen krekerd daddyncalled pizda pedofil nhe je rekel 18ndie počasi ya fucken toe rags 
1,3,ni več reči 
1,3,@User Beseda Fine čudna pizda 
1,3,@user @user @user @user @user @user @user youre preprosto dal jezen feminazi. 
1,3,Desna pizda je bila zaračunana postin video Sayin plin Judje 23-krat res Tryin Ae Pipe H @url 
1,3,"@User .... Bogom strelja? Nnfuck Cunt.Nnwe Dovolj zmaga. dejstvo, da smo taktin @url "
1,3,Zabavno dejstvo se je imenovalo Chink Ching Chongd 11. razred komaj izgledajo azijsko belo mesto 
1,3,"@user @user neumna twat potrebe daje nazaj svobode, drugi so se borili za. neumni pos. h @url. "
1,3,@user hvala pizda 
1,3,@User je bil jezen. pizda. 
1,3,"Sorta pizda dolguje nekomu denar, ki očitno izognili dajanje krpljivih besedil itd gre z nigh @url "
1,3,"@User, ki je sprejemljiv celo lev buden. Posebna vrsta Trophy Hunterja "
1,3,Tory twat @url. 
1,3,@User Well WASP ustaljeno državo vsakdo vrnitev države izvora ... če @url 
1,3,OBVESTILO FUCKING Izgleda Pearceovo velikosti stopala. Whatta pizda. Get Fuckhead outta mlb. @url. 
1,3,Guy potrebuje nadzor Alt Brisanje Self Fuckin Dirtyyy Arogant Neuporaba Cunt Wow @Url 
1,3,Fagot Lady nikoli zajebava 
1,3,@user @user ex6 suck kurac ne more niti dober stran fucking velika retard wondes ldlc nenadoma b @url 
1,3,pizda zaslužena @url. 
1,3,Opomnik je logirala sektaška pizda Ian Durrant. 
1,3,"Človekova pizda! Oprostite, uporabite besedo, ki jo je mrtev. @url. "
1,3,@User I Friends Girls Borderline Zaostala osebna osebnost osebnosti 
1,3,@user se počuti kot debela pizda 
1,3,Sovražim vsak planet Cunt Planet 
1,3,@user omg babe hvala 
1,3,Hitro ljubezen avto. Želite narediti Twat minuto. @url. 
1,3,pizda prekleto smeh? Stroški 370 fucking joke @url 
1,3,"bratranec, ki me je kosilo, me ne morem čakati, da plačate vsako pizdo "
1,3,@user @user @ser @user @user @user @user @user @user @user im feminazi. @url. 
1,3,@user lmaooo cunt. 
1,3,Negro je rekel Nabiha?!?! Tudi bombil smph ... 
1,3,"@user O, žal je razložiti SMTTH vedela reči, da vem, da se bom vrnil "
1,3,"@User Stick Okrog okrogle glave zaprta pizda gor. še vedno dovolj slabo, da moramo prenašati Shite pesem dvajset let kasneje "
1,3,"@user, imenovan Všeč mi je COYLE MOYES MONK LAUDRUP & AMP; koeman daft twat. Vesel sem Club Car @url "
1,3,bi izgledal kot twat kot to? @url. 
1,3,prost? Zakaj? _ BC vlada Cunt @URL 
1,3,@User Nae Cunt se strinja Wae 
1,3,"@ser watch sit mislim @user kmetovanje, kot je retard vse, kar je zanikal @url "
1,3,@user prekleto raghead cunts 
1,3,@User @User @User @User Real ženske. FEMINAZIS. DEMANEAN MEN FUN TA @URL 
1,3,@user twat ores. 
1,3,"@User @User Skoraj Mueller Time Shithole (izraz, ki se uporablja v 3. svetovnih državah) !!! "
1,3,"Gremo desno Twat, ki zavije zaščito prič, še večja @url "
1,3,@user Ja Lucky Lubenica Neuporabljena Twat 
1,3,Twat? @url. 
1,3,"@User Da. dvomim, da bo. Druga samopomoč je absorbirana kurba za pozornost. @url. "
1,3,Reci Cunt Dammit !! Nit je naslednji torek FFS. 
1,3,@User @User @User @User Hurry Glasuje pizda 
1,3,@user Celzy je rekel COS Retard 
1,3,"sesati kurac, dokler ne izgleda neumno zaostalo "
1,3,Postavite pištolo. Fucking Brave Eh Tiger? To je @url 
1,3,Končana #makingamurder 2. Bobby Dassey kriv. Ken Kratz pizda. Kathleen Zellner Legend. Delores Allen Avery. 
1,3,pizda. Dare Pošlji misli mrtve. Usta na nogavicah potisnite moža. fosent v @url. 
1,3,"Way vsi, ki vsakdo kihanje, ki se ukvarja z investiranjem ene ploskve Chinaman vedno nosi "
1,3,Going Pippi Longstocking Halloween dogodek Nocoj Bc Shes Ginger nosi Dyke Attire Fit Merila 
1,3,@user ponaredek moškega moškega ljudem 
1,3,@User im rasist. Mama dober primer brez prijatelja. Hvala! #bslunch. 
1,3,"Ženske DJ pravi, da služijo dolar retard sok bar: @url "
